ID,Date,Primary offering,For_Sale
ID17350478,5/7/2014,120000,1
ID66290317,5/7/2014,756000,0
ID30110492,5/7/2014,672700,0
ID88900324,5/7/2014,392000,1
ID35317613,5/7/2014,528000,0
ID44595292,5/7/2014,742000,1
ID58319524,5/7/2014,616000,1
ID10686950,5/7/2014,1007500,1
ID52720656,5/7/2014,192000,1
ID44194198,5/7/2014,293930,0
ID46669222,5/7/2014,294450,1
ID46881685,5/7/2014,494000,0
ID95040802,5/7/2014,532350,1
ID21890054,5/7/2014,897000,0
ID68068886,5/7/2014,526500,1
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID60669653,7/3/2014,31908000,0
ID13611857,5/7/2014,525000,0
ID49402974,5/7/2014,1111815.6,0
ID29231300,5/7/2014,222000,0
ID82919380,5/7/2014,343000,1
ID78411902,5/7/2014,1992250,0
ID73464255,5/7/2014,1248000,0
ID39532910,5/7/2014,552500,1
ID14699570,5/7/2014,643500,1
ID97472777,5/7/2014,511000,0
ID69509026,5/7/2014,500700,0
ID20827540,5/7/2014,475930,0
ID29191671,5/8/2014,861000,0
ID30526337,5/8/2014,483600,1
ID55646916,5/8/2014,1372000,0
ID27739013,5/8/2014,361200,1
ID31687802,5/8/2014,746200,1
ID45717216,5/8/2014,645000,1
ID13792776,5/8/2014,996000,1
ID17506704,5/8/2014,925600,0
ID46334587,5/8/2014,340600,1
ID92332445,5/8/2014,904665.6,1
ID68453659,5/8/2014,187600,1
ID76688214,5/8/2014,562800,0
ID23149538,5/8/2014,266500,0
ID78839035,5/8/2014,719745,1
ID21256005,5/8/2014,727935,0
ID85429087,5/8/2014,364000,0
ID71182430,5/8/2014,378000,1
ID17322360,5/8/2014,324500,1
ID63616837,5/8/2014,790900,1
ID25612118,5/8/2014,292600,0
ID60796827,5/8/2014,391080,1
ID73123255,5/8/2014,712250,1
ID33996092,5/8/2014,1246800,0
ID57685142,5/8/2014,739700,0
ID64111367,5/8/2014,319800,0
ID60239329,5/8/2014,721000,0
ID66762841,5/8/2014,289800,1
ID78515028,5/8/2014,1014000,0
ID40267369,5/8/2014,685986,0
ID58886056,5/8/2014,435500,0
ID16866385,5/8/2014,354000,1
ID19226924,5/8/2014,500500,0
ID41378799,5/8/2014,455000,0
ID41505777,5/8/2014,329000,1
ID58223900,5/8/2014,429600,0
ID57661612,5/8/2014,931450,1
ID35772531,5/8/2014,273600,0
ID87467868,5/8/2014,567000,0
ID94019530,5/8/2014,753200,0
ID54820195,5/8/2014,689000,1
ID37441371,5/8/2014,1925000,1
ID84720844,5/8/2014,826800,1
ID73955495,5/8/2014,695500,0
ID58464124,5/8/2014,2100000,1
ID24509175,5/8/2014,1042200,1
ID98737304,5/8/2014,583000,1
ID66904037,5/8/2014,630000,0
ID99899948,5/8/2014,322000,1
ID74946937,5/8/2014,297700,1
ID25235176,5/8/2014,611800,0
ID47379663,5/8/2014,1568400,0
ID71901950,5/8/2014,714000,1
ID14780587,5/8/2014,858000,0
ID83363774,5/8/2014,417000,1
ID50784412,5/8/2014,387335,1
ID36712193,5/8/2014,343000,0
ID62595779,5/8/2014,706160,1
ID90310822,5/8/2014,1500000,0
ID15474529,5/8/2014,454795,0
ID33106329,5/8/2014,429000,1
ID14271818,5/8/2014,594300,0
ID46616594,5/8/2014,253000,1
ID29355157,5/8/2014,1116000,1
ID20624813,5/8/2014,383900,1
ID13566406,5/8/2014,918500,1
ID73874000,5/8/2014,1285050,1
ID74930354,5/8/2014,550000,0
ID67243055,5/8/2014,648700,1
ID17424769,5/8/2014,386340,1
ID22948389,5/8/2014,592800,1
ID19518949,5/8/2014,574275,1
ID53990300,5/8/2014,569400,1
ID99701242,5/9/2014,1083500,1
ID11368589,5/9/2014,422400,0
ID36692432,5/9/2014,923890,0
ID96325939,5/9/2014,841500,1
ID33358304,5/9/2014,598000,0
ID53120610,5/9/2014,291850,1
ID40899327,5/9/2014,330200,1
ID97443176,5/9/2014,331500,0
ID79147511,5/9/2014,732000,0
ID72718142,5/9/2014,1196000,0
ID99711134,5/9/2014,483000,1
ID63093905,5/9/2014,393330,0
ID18278742,5/9/2014,664400,0
ID58128993,5/9/2014,791000,1
ID97158184,5/9/2014,357000,0
ID51014928,5/9/2014,489500,0
ID87648634,5/9/2014,3120000,0
ID23904217,5/9/2014,214500,1
ID17219428,5/9/2014,302500,0
ID70584461,5/9/2014,541800,1
ID48825989,5/9/2014,539000,1
ID16686734,5/9/2014,656500,1
ID38688378,5/9/2014,394550,1
ID39949254,5/9/2014,324000,1
ID36181457,5/9/2014,387600,1
ID70168866,5/9/2014,458400,1
ID11358162,5/9/2014,1918000,1
ID28536421,5/9/2014,336000,0
ID15300679,5/9/2014,364000,0
ID65523233,5/9/2014,221650,1
ID98751783,5/9/2014,1272920,1
ID22600445,5/9/2014,751100,1
ID10134610,5/9/2014,322400,0
ID56349085,5/9/2014,638400,1
ID54469459,5/9/2014,812000,1
ID40254649,5/9/2014,555600,0
ID26217595,5/9/2014,965250,0
ID74256198,5/9/2014,286000,0
ID37633077,5/9/2014,826000,1
ID10297703,5/9/2014,343200,0
ID37723325,5/9/2014,679200,0
ID52351024,5/9/2014,562710.5,1
ID97878490,5/9/2014,641300,0
ID86069658,5/9/2014,406000,1
ID38130687,5/9/2014,342210,1
ID69094920,5/9/2014,455000,1
ID71879612,5/9/2014,540430,1
ID51558216,5/9/2014,441000,1
ID47835997,5/9/2014,432000,1
ID64271781,5/9/2014,396000,0
ID71483984,5/9/2014,674030,1
ID12024867,5/9/2014,258445,0
ID37175039,5/9/2014,326300,1
ID22132546,5/9/2014,860200,1
ID38197623,5/9/2014,1082900,0
ID55531801,5/9/2014,596750,0
ID50007852,5/9/2014,1021200,0
ID54176599,5/9/2014,357500,1
ID29977753,5/9/2014,581000,1
ID44924332,5/9/2014,353500,1
ID51271036,5/9/2014,511500,1
ID65485146,5/9/2014,471660,1
ID14075149,5/9/2014,315000,0
ID92059931,5/9/2014,351000,1
ID51716968,5/9/2014,2043000,0
ID34039270,5/9/2014,643200,1
ID34013569,5/9/2014,702000,1
ID97373762,5/9/2014,578500,0
ID14436089,5/9/2014,384000,0
ID52035402,5/9/2014,1000870,0
ID59701943,5/9/2014,779800,0
ID28231947,5/9/2014,275600,1
ID60698028,5/9/2014,526400,1
ID21853552,5/9/2014,880000,1
ID97145683,5/9/2014,2686665.6,0
ID18947639,5/9/2014,356400,0
ID67149215,5/10/2014,604890,1
ID17038713,5/10/2014,416000,1
ID98256686,5/10/2014,1225000,1
ID83821276,5/10/2014,344500,1
ID92469059,5/10/2014,473940,0
ID30423424,5/11/2014,1011000,0
ID11857318,5/11/2014,441600,0
ID92115242,5/12/2014,1715000,1
ID99213795,5/12/2014,1150500,0
ID57349554,5/12/2014,498570.6,0
ID74131829,5/12/2014,1297800,1
ID40484473,5/12/2014,637000,1
ID35766509,5/12/2014,375100,0
ID11839985,5/12/2014,282000,0
ID60499431,5/12/2014,1320000,1
ID14058396,5/12/2014,672000,0
ID64063793,5/12/2014,990000,0
ID57525872,5/12/2014,331500,0
ID11166365,5/12/2014,1890000,1
ID82105887,5/12/2014,1139645,0
ID61083972,5/12/2014,594000,1
ID63152819,5/12/2014,490000,0
ID39460088,5/12/2014,825000,1
ID28013771,5/12/2014,640200,1
ID95958786,5/12/2014,1578000,1
ID74569354,5/12/2014,484250,0
ID65456856,5/12/2014,574000,1
ID56170767,5/12/2014,396000,0
ID30009834,5/12/2014,1116500,0
ID51243619,5/12/2014,270000,1
ID77384705,5/12/2014,905800,1
ID60272499,5/12/2014,1235000,0
ID24013092,5/12/2014,222000,1
ID55559375,5/12/2014,368500,0
ID59817009,5/12/2014,273000,0
ID88549635,5/12/2014,574200,1
ID75559213,5/12/2014,924000,0
ID87409891,5/12/2014,549945,0
ID90767543,5/12/2014,1051400,0
ID31469985,5/12/2014,429000,0
ID59504324,5/12/2014,651000,0
ID14938424,5/12/2014,935000,0
ID79456133,5/12/2014,1137000,0
ID16576710,5/12/2014,362400,1
ID46195453,5/12/2014,650000,1
ID64666576,5/12/2014,221100,1
ID52734709,5/12/2014,318000,0
ID33298670,5/12/2014,1131390,0
ID45406672,5/12/2014,440700,1
ID20706846,5/12/2014,966000,0
ID40946775,5/12/2014,1103200,1
ID77805220,5/12/2014,441385,1
ID28736521,5/12/2014,606000,0
ID93273352,5/12/2014,441600,1
ID33339000,5/12/2014,1137000,0
ID74276599,5/12/2014,171600,1
ID79594220,5/12/2014,732000,0
ID81284683,5/12/2014,546000,0
ID39051858,5/12/2014,230400,0
ID94322419,5/12/2014,1274000,1
ID47841588,5/12/2014,1690000,0
ID92495484,5/12/2014,1884960,0
ID72186914,5/12/2014,1176000,0
ID20704557,5/12/2014,330000,1
ID35659635,5/12/2014,656500,1
ID47298455,5/12/2014,143000,0
ID58481621,5/12/2014,895200,1
ID85007076,5/12/2014,232100,0
ID32273134,5/12/2014,810000,1
ID59105973,5/12/2014,881040,1
ID56718102,5/12/2014,1715000,1
ID21444653,5/12/2014,799500,0
ID27793518,5/12/2014,882000,1
ID25050673,5/12/2014,1516800,1
ID90150689,5/12/2014,391950,0
ID40612317,5/12/2014,479700,0
ID80629875,5/12/2014,889000,0
ID35636888,5/12/2014,1344054.4,1
ID71957624,5/12/2014,497900,1
ID17653101,5/12/2014,1155000,1
ID18669733,5/13/2014,591500,1
ID20929908,5/13/2014,1147860,0
ID94005575,5/13/2014,875000,1
ID39056578,5/13/2014,781200,0
ID91745836,5/13/2014,624000,0
ID83887631,5/13/2014,984100,1
ID90061285,5/13/2014,506000,1
ID21100050,5/13/2014,347548.5,1
ID31782033,5/13/2014,689000,0
ID78519218,5/13/2014,494450,0
ID82992926,5/13/2014,375700,0
ID10805501,5/13/2014,447600,1
ID97450851,5/13/2014,735000,0
ID51697977,5/13/2014,932400,1
ID50474367,5/13/2014,770000,1
ID77209254,5/13/2014,575300,1
ID22177294,5/13/2014,879200,1
ID32660756,5/13/2014,813400,0
ID85238832,5/13/2014,269500,0
ID16727589,5/13/2014,456500,1
ID47887854,5/13/2014,2653000,0
ID23493706,5/13/2014,315000,0
ID54024086,5/13/2014,373100,0
ID21450414,5/13/2014,879120,0
ID12030667,5/13/2014,335930,1
ID97234371,5/13/2014,650100,0
ID34009505,5/13/2014,770000,1
ID33306427,5/13/2014,665000,0
ID72082223,5/13/2014,690000,1
ID27612619,5/13/2014,848100,0
ID56766082,5/13/2014,170500,1
ID60216985,5/13/2014,715000,0
